"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"2","12 Jan 2026, 12:17","12 Jan 2026, 13:07","","Triceps Pushdown",,"",0,"normal",60,8,,,
"2","12 Jan 2026, 12:17","12 Jan 2026, 13:07","","Triceps Pushdown",,"",1,"normal",60,8,,,
"2","12 Jan 2026, 12:17","12 Jan 2026, 13:07","","Triceps Pushdown",,"",2,"normal",60,8,,,
"2","12 Jan 2026, 12:17","12 Jan 2026, 13:07","","Triceps Extension (Barbell)",,"",0,"normal",12,15,,,
"2","12 Jan 2026, 12:17","12 Jan 2026, 13:07","","Triceps Extension (Barbell)",,"",1,"normal",12,10,,,
"2","12 Jan 2026, 12:17","12 Jan 2026, 13:07","","Triceps Extension (Barbell)",,"",2,"normal",12,10,,,
"2","12 Jan 2026, 12:17","12 Jan 2026, 13:07","","Lateral Raise (Dumbbell)",,"",0,"normal",12,12,,,
"2","12 Jan 2026, 12:17","12 Jan 2026, 13:07","","Lateral Raise (Dumbbell)",,"",1,"normal",12,12,,,
"2","12 Jan 2026, 12:17","12 Jan 2026, 13:07","","Lateral Raise (Dumbbell)",,"",2,"normal",12,12,,,
"2","12 Jan 2026, 12:17","12 Jan 2026, 13:07","","Seated Lateral Raise (Dumbbell)",,"",0,"normal",6,10,,,
"2","12 Jan 2026, 12:17","12 Jan 2026, 13:07","","Seated Lateral Raise (Dumbbell)",,"",1,"normal",7,10,,,
"2","12 Jan 2026, 12:17","12 Jan 2026, 13:07","","Seated Lateral Raise (Dumbbell)",,"",2,"normal",6,10,,,
"2","12 Jan 2026, 12:17","12 Jan 2026, 13:07","","Seated Lateral Raise (Dumbbell)",,"",3,"normal",6,10,,,
"2","12 Jan 2026, 12:17","12 Jan 2026, 13:07","","Seated Lateral Raise (Dumbbell)",,"",4,"normal",6,10,,,
"2","12 Jan 2026, 12:17","12 Jan 2026, 13:07","","Seated Lateral Raise (Dumbbell)",,"",5,"normal",6,10,,,
"2","12 Jan 2026, 12:17","12 Jan 2026, 13:07","","Seated Lateral Raise (Dumbbell)",,"",6,"normal",6,8,,,
"2","12 Jan 2026, 12:17","12 Jan 2026, 13:07","","Seated Lateral Raise (Dumbbell)",,"",7,"normal",6,8,,,
